self_employed,family_history,treatment,days_indoors,growing_stress,changes_habits,mental_health_history,mood_swings,coping_struggles,work_interest,social_weakness,mental_health_interview,care_options,mental_health_severity,candidacy_rating,feature_3,count,percentage
No,-1,-1,15-30 days,1,1,1,-1,1,-1,-1,No,No,1,1,-2,282,0.09820240839665416
No,-1,-1,More than 2 months,1,0,1,0,1,1,0,No,No,4,0,2,188,0.06546827226443609
No,-1,-1,1-14 days,-1,1,-1,-1,1,1,1,No,No,1,-3,2,188,0.06546827226443609
No,-1,-1,31-60 days,0,0,-1,-1,1,-1,1,No,No,-1,-3,0,188,0.06546827226443609
No,-1,-1,1-14 days,1,0,-1,-1,-1,0,-1,No,No,-3,-2,-3,188,0.06546827226443609
No,-1,-1,More than 2 months,1,1,0,1,-1,1,1,No,No,4,0,2,188,0.06546827226443609
No,-1,-1,15-30 days,1,1,1,-1,1,-1,-1,No,Not sure,1,1,-2,159,0.05536944303215607
No,1,1,15-30 days,1,1,1,-1,1,-1,-1,No,Yes,1,5,-2,144,0.05014591067063191
No,1,1,15-30 days,1,1,1,-1,1,-1,-1,No,No,1,5,-2,120,0.04178825889219326
No,-1,1,15-30 days,1,1,1,-1,1,-1,-1,No,Yes,1,3,-2,117,0.040743552419888425
No,-1,-1,1-14 days,1,0,-1,-1,-1,0,-1,No,Not sure,-3,-2,-3,106,0.03691296202143738
No,-1,-1,More than 2 months,1,0,1,0,1,1,0,No,Not sure,4,0,2,106,0.03691296202143738
No,-1,-1,1-14 days,-1,1,-1,-1,1,1,1,No,Not sure,1,-3,2,106,0.03691296202143738
No,-1,-1,31-60 days,0,0,-1,-1,1,-1,1,No,Not sure,-1,-3,0,106,0.03691296202143738
No,-1,-1,More than 2 months,1,1,0,1,-1,1,1,No,Not sure,4,0,2,106,0.03691296202143738
No,-1,-1,31-60 days,1,0,1,-1,-1,-1,1,No,No,0,0,-2,100,0.03482354907682771
No,-1,-1,1-14 days,0,1,0,1,1,1,-1,No,No,3,-1,2,100,0.03482354907682771
No,-1,-1,31-60 days,1,0,0,0,-1,-1,-1,No,No,-2,-1,-3,100,0.03482354907682771
No,-1,-1,Go out Every day,-1,1,1,0,-1,1,0,No,No,1,-1,0,100,0.03482354907682771
No,-1,-1,1-14 days,0,1,1,-1,-1,1,0,No,No,1,0,-1,100,0.03482354907682771
No,-1,-1,1-14 days,-1,0,1,0,1,1,1,No,No,3,-2,3,100,0.03482354907682771
No,-1,-1,1-14 days,0,0,0,-1,-1,-1,-1,No,No,-4,-2,-4,100,0.03482354907682771
No,-1,-1,1-14 days,1,1,-1,-1,1,1,1,No,No,3,-1,2,100,0.03482354907682771
No,-1,-1,More than 2 months,0,1,-1,0,-1,1,1,No,No,1,-2,1,100,0.03482354907682771
No,-1,-1,15-30 days,0,0,0,1,-1,1,1,No,No,2,-2,2,100,0.03482354907682771
