self_employed,family_history,treatment,days_indoors,growing_stress,changes_habits,mental_health_history,mood_swings,coping_struggles,work_interest,social_weakness,mental_health_interview,care_options,mental_health_severity,candidacy_rating,feature_3,count
No,-1,-1,15-30 days,1,1,1,-1,1,-1,-1,No,No,1,1,-2,282
No,-1,-1,More than 2 months,1,0,1,0,1,1,0,No,No,4,0,2,188
No,-1,-1,1-14 days,-1,1,-1,-1,1,1,1,No,No,1,-3,2,188
No,-1,-1,31-60 days,0,0,-1,-1,1,-1,1,No,No,-1,-3,0,188
No,-1,-1,1-14 days,1,0,-1,-1,-1,0,-1,No,No,-3,-2,-3,188
No,-1,-1,More than 2 months,1,1,0,1,-1,1,1,No,No,4,0,2,188
No,-1,-1,15-30 days,1,1,1,-1,1,-1,-1,No,Not sure,1,1,-2,159
No,1,1,15-30 days,1,1,1,-1,1,-1,-1,No,Yes,1,5,-2,144
No,1,1,15-30 days,1,1,1,-1,1,-1,-1,No,No,1,5,-2,120
No,-1,1,15-30 days,1,1,1,-1,1,-1,-1,No,Yes,1,3,-2,117
No,-1,-1,1-14 days,1,0,-1,-1,-1,0,-1,No,Not sure,-3,-2,-3,106
No,-1,-1,More than 2 months,1,0,1,0,1,1,0,No,Not sure,4,0,2,106
No,-1,-1,1-14 days,-1,1,-1,-1,1,1,1,No,Not sure,1,-3,2,106
No,-1,-1,31-60 days,0,0,-1,-1,1,-1,1,No,Not sure,-1,-3,0,106
No,-1,-1,More than 2 months,1,1,0,1,-1,1,1,No,Not sure,4,0,2,106
No,-1,-1,31-60 days,1,0,1,-1,-1,-1,1,No,No,0,0,-2,100
No,-1,-1,1-14 days,0,1,0,1,1,1,-1,No,No,3,-1,2,100
No,-1,-1,31-60 days,1,0,0,0,-1,-1,-1,No,No,-2,-1,-3,100
No,-1,-1,Go out Every day,-1,1,1,0,-1,1,0,No,No,1,-1,0,100
No,-1,-1,1-14 days,0,1,1,-1,-1,1,0,No,No,1,0,-1,100
No,-1,-1,1-14 days,-1,0,1,0,1,1,1,No,No,3,-2,3,100
No,-1,-1,1-14 days,0,0,0,-1,-1,-1,-1,No,No,-4,-2,-4,100
No,-1,-1,1-14 days,1,1,-1,-1,1,1,1,No,No,3,-1,2,100
No,-1,-1,More than 2 months,0,1,-1,0,-1,1,1,No,No,1,-2,1,100
No,-1,-1,15-30 days,0,0,0,1,-1,1,1,No,No,2,-2,2,100
No,-1,-1,More than 2 months,0,1,-1,1,-1,-1,-1,No,No,-2,-2,-2,100
No,-1,-1,More than 2 months,0,1,0,0,-1,-1,-1,No,No,-2,-1,-3,100
No,-1,-1,Go out Every day,1,-1,-1,1,-1,1,-1,No,No,-1,-3,0,100
No,-1,-1,15-30 days,1,1,-1,-1,1,1,0,No,No,2,-1,1,100
